post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
"ISTIKBAL Multifunctional Furniture Living Room Sofa Bed Regata Collection (Diego Grey)",istikbal-multifunctional-furniture-living-room-set-argos-collection-zilkade-brown-sofa,,15,"<h2><b>ISTIKBAL Multifunctional Furniture Living Room Sofa Bed Regata Collection (Diego Grey)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Diego Grey

<b>Features:</b>
<ul>
 	<li>SOFA: This sleek armless sofa comes complete with firm comfortable cushions, subtle tufted detailing, accenting decorative pillows and discreet chrome legs.</li>
 	<li>SLEEPER: Lift this loveseat up to reveal built-in storage space that easily holds your bedding and household items.</li>
 	<li>STORAGE: Fold it down to uncover a comfortable sleeper for midday naps and overnight guests.</li>
 	<li>CONTEMPORARY: Allow this versatile piece to blend perfectly into any space and enjoy contemporary style, superior comfort and convenient functionality packed into one sleek sofa.</li>
</ul>",,publish,,0,"2022-09-12 17:12:22",1,open,,,,no,no,,899,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/91thS2CDVZL._AC_SL1500_360x.jpg ! alt :  ! title : 91thS2CDVZL._AC_SL1500_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41PvJwabuQL_1800x1800.jpg ! alt :  ! title : 41PvJwabuQL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/411W0D7ZiML_1800x1800.jpg ! alt :  ! title : 411W0D7ZiML_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41QwnQpHutL_697ff551-8b57-45ff-9a75-c659de89452f_1800x1800.jpg ! alt :  ! title : 41QwnQpHutL_697ff551-8b57-45ff-9a75-c659de89452f_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31OeAzTwxEL_6d2acf8a-ed5c-48cb-8c18-c106c36ad098_1800x1800.jpg ! alt :  ! title : 31OeAzTwxEL_6d2acf8a-ed5c-48cb-8c18-c106c36ad098_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/412WIWkRnkL_1800x1800.jpg ! alt :  ! title : 412WIWkRnkL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/91thS2CDVZL._AC_SL1500_1800x1800.jpg ! alt :  ! title : 91thS2CDVZL._AC_SL1500_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-set-argos-collection-zilkade-brown-sofa,0,simple,,Uncategorized,,
"Istikbal Multifunctional Furniture Living Room Set Argos Collection (Zilkade Brown, Sofa)",istikbal-multifunctional-furniture-living-room-set-argos-collection-zilkade-brown-sofa-2,,17,"<h2><b>Istikbal Multifunctional Furniture Living Room Set Argos Collection (Zilkade Brown, Sofa)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Zilkade Brown

<b>Features:</b>
<ul>
 	<li>EPITOME OF GRANDEUR: The Argos is the epitome of grandeur in every aspect of its design. A vintage beauty with a modern personality, Argos features eye-catching scalloped tufting stitched throughout its seating area and rich wood detail integrated into its base for a look that’s impressive from top to bottom.</li>
 	<li>BUILT-IN STORAGE: Argos offers built-in storage space to cleverly conceal your living room clutter.</li>
 	<li>INNERSPRING SLEEPER: Fold down sleeper for a cozy place to snooze the day away or host an overnight guest.</li>
 	<li>PERFORMANCE FABRIC: Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.</li>
</ul>",,publish,,0,"2022-09-12 17:12:56",1,open,,,,no,no,,891,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/41DHyUwQJrL_360x-1.jpg ! alt :  ! title : 41DHyUwQJrL_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41liGewuaUL_1800x1800.jpg ! alt :  ! title : 41liGewuaUL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41VZ1WZoqAL_1800x1800.jpg ! alt :  ! title : 41VZ1WZoqAL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41QOpixGNJL_e1773aa4-344f-4343-8ba9-87d481df8efa_1800x1800.jpg ! alt :  ! title : 41QOpixGNJL_e1773aa4-344f-4343-8ba9-87d481df8efa_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41KlPb9nuYL_1a1e77ce-5ad1-4047-a8f0-919b98097d1a_1800x1800.jpg ! alt :  ! title : 41KlPb9nuYL_1a1e77ce-5ad1-4047-a8f0-919b98097d1a_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41DHyUwQJrL_1800x1800.jpg ! alt :  ! title : 41DHyUwQJrL_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-set-argos-collection-zilkade-brown-sofa-2,0,simple,,"SLEEPER SOFA",,
"ISTIKBAL 90"" Round Arms Sofa Bed",istikbal-90-round-arms-sofa-bed,,34,"<h2>ISTIKBAL 90"" Round Arms Sofa</h2>
<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">MODERN DESIGN: Enjoy this masterfully modern piece in your choice of two contrasting neutral color palettes that were designed to artfully accent any design scheme.</span></li>
 	<li><span class=""a-list-item"">BUILT-IN STORAGE: Kick your feet up and enjoy a reclining profile that perches you in the perfect seating position or flip the seats up to reveal a spacious hidden storage compartment ready to be stuffed with comfort items and living room essentials.</span></li>
 	<li><span class=""a-list-item"">INNERSPRING SLEEPER: Lift up Alfa’s seats and listen for the click to fold this sofa down into a sprawling innerspring sleeper that lets overnight guests snuggle up in magnificent comfort.</span></li>
 	<li><span class=""a-list-item"">PERFORMANCE FABRIC: Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.</span></li>
</ul>",,publish,,0,"2022-09-12 18:53:34",1,open,,,,no,no,,900,799,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/RoundArmsSofa_360x.jpg ! alt :  ! title : RoundArmsSofa_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/81Tyd5yUyML._AC_SL1500_1800x1800.jpg ! alt :  ! title : 81Tyd5yUyML._AC_SL1500_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/61wtzq8dYcL._AC_SL1436_1800x1800.jpg ! alt :  ! title : 61wtzq8dYcL._AC_SL1436_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/90RoundArmsSofa22_1800x1800.jpg ! alt :  ! title : 90RoundArmsSofa22_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/90RoundArmsSofa_1800x1800.jpg ! alt :  ! title : 90RoundArmsSofa_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/RoundArmsSofa2_1800x1800.jpg ! alt :  ! title : RoundArmsSofa2_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/RoundArmsSofa_1800x1800.jpg ! alt :  ! title : RoundArmsSofa_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-90-round-arms-sofa-bed,0,simple,,"SLEEPER SOFA",,
"Istikbal Multifunctional Furniture Living Room Set Vision Collection (Grey, Sofa)",istikbal-multifunctional-furniture-living-room-set-vision-collection-grey-sofa,,56,"<h2><b>Istikbal Multifunctional Furniture Living Room Set Vision Collection (Grey, Sofa)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Grey

<b>Features:</b>
<ul>
 	<li>INNERSPRING SLEEPER: Its built-in innerspring sleeper lets you take a relaxing break from your workday or offers a comfy place for overnight guests to stay.</li>
 	<li>BUILT-IN STORAGE: Ditch the storage cubes that take away from the ambiance of the room and take advantage of Vision’s cleverly concealed storage space just below its seats.</li>
 	<li>CENTERPIECE: Make this sofa the centerpiece of your living room or use it to elevate your home office or guest room.</li>
 	<li>PERFORMANCE FABRIC: Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.</li>
</ul>",,publish,,0,"2022-09-12 19:45:04",1,open,,,,no,no,,999,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/91eupqpeVqL._AC_SL1500_360x.jpg ! alt :  ! title : 91eupqpeVqL._AC_SL1500_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41Z855osLTL_1800x1800.jpg ! alt :  ! title : 41Z855osLTL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41h332YJnUL_8f8f91c0-6a10-4ff2-93c5-a19a6865fa46_1800x1800.jpg ! alt :  ! title : 41h332YJnUL_8f8f91c0-6a10-4ff2-93c5-a19a6865fa46_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41VO0fcPQ9L_1800x1800.jpg ! alt :  ! title : 41VO0fcPQ9L_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41x5M7X2JOL_74e790a8-afae-4066-9dcf-796d7809c021_1800x1800.jpg ! alt :  ! title : 41x5M7X2JOL_74e790a8-afae-4066-9dcf-796d7809c021_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41JoMCleFwL_1800x1800.jpg ! alt :  ! title : 41JoMCleFwL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/91eupqpeVqL._AC_SL1500_1800x1800.jpg ! alt :  ! title : 91eupqpeVqL._AC_SL1500_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-set-vision-collection-grey-sofa,0,simple,,"SLEEPER SOFA",,
"ISTIKBAL Multifunctional Furniture Living Room Sofa Bed Fantasy Collection (Valencia Grey)",istikbal-multifunctional-furniture-living-room-sofa-bed-fantasy-collection-valencia-grey,,64,"<h2><b>ISTIKBAL Multifunctional Furniture Living Room Sofa Bed Fantasy Collection (Valencia Grey)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Valencia Grey

<b>Features:</b>
<ul>
 	<li>SOFA: With bold trend setting details, the Fantasy Sleeper Sofa is simply iconic. Uniquely pleated seating, sleek chrome detailing, and removable armrest and back cushions create a modern look that’s sure to get everyone talking.</li>
 	<li>SLEEPER: Offer guests a satisfyingly comfortable place to stay the night by simply folding this sofa down and transitioning it into a queen-sized sleeper.</li>
 	<li>STORAGE: Pull the seat out to reveal cleverly concealed storage space, perfect for tucking away bedding, electronics, toys and more.</li>
 	<li>SUPERIOR COMFORT Fantasy’s superior comfort and chic style create the perfect setting for making memories with friends and family.</li>
</ul>",,publish,,0,"2022-09-12 19:48:27",1,open,,,,no,no,,1199,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_ValenciaGrey_360x.jpg ! alt :  ! title : ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_ValenciaGrey_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41073x_juEL_1800x1800.jpg ! alt :  ! title : 41073x_juEL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/4138AEHwCDL_1800x1800.jpg ! alt :  ! title : 4138AEHwCDL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41-9CUMpd8L_2619b112-6ac5-4844-8cbe-d5cb7a5713f3_1800x1800.jpg ! alt :  ! title : 41-9CUMpd8L_2619b112-6ac5-4844-8cbe-d5cb7a5713f3_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31Xh9_gAXEL_4af4a36b-93c1-4eaa-bc93-30875471ab96_1800x1800.jpg ! alt :  ! title : 31Xh9_gAXEL_4af4a36b-93c1-4eaa-bc93-30875471ab96_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/415ZwFVlwEL_1800x1800.jpg ! alt :  ! title : 415ZwFVlwEL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_ValenciaGrey_1800x1800.jpg ! alt :  ! title : ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_ValenciaGrey_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-sofa-bed-fantasy-collection-valencia-grey,0,simple,,"SLEEPER SOFA",,
"Istikbal Tahoe 3 seat sleeper sofa bed",istikbal-tahoe-3-seat-sleeper-sofa-bed,,74,"When it comes time to host an unexpected overnight guest, simply pull your bedding out from the storage space and fold this sofa down to reveal an instant innerspring bed for a cozy place to spend the night. Underneath Tahoe’s roomy seats lies hidden storage space for you to store all your blankets, pillows, and any other living room essentials. Sit in style on a modern design that drips with mid-century influence, boasting a trendy geometric pattern covering pillows that creates a stylish contrast to the muted charcoal hue of the collection’s soft to the touch fabric .Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.
<h5><b>Features:</b></h5>
<ul>
 	<li><strong>SLEEPER</strong>: When it comes time to host an unexpected overnight guest, simply pull your bedding out from the storage space and fold this sofa down to reveal an instant innerspring bed for a cozy place to spend the night.</li>
 	<li>BUILT-IN <strong>STORAGE</strong>: Hidden storage space for you to store all your blankets, pillows, and any other living room essentials.</li>
 	<li>GEOMETRIC PATTERN: Sit in style on a modern design that drips with mid-century influence, boasting a trendy geometric pattern covering the pillows that creates a stylish contrast to the muted charcoal hue of the collection’s soft to the touch fabric.</li>
 	<li>PERFORMANCE <strong>FABRIC</strong>: Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.</li>
</ul>",,publish,,0,"2022-09-12 19:59:55",1,open,,,,no,no,,999,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/71y2k-lEPJL._AC_SL1500_360x.jpg ! alt :  ! title : 71y2k-lEPJL._AC_SL1500_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31IsU6tdicL_1800x1800.jpg ! alt :  ! title : 31IsU6tdicL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31KWXrXTDGL_1800x1800.jpg ! alt :  ! title : 31KWXrXTDGL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41U6TNVSBFL_4cd5d281-a5ad-4e74-a96f-592f7cb7ce5c_1800x1800.jpg ! alt :  ! title : 41U6TNVSBFL_4cd5d281-a5ad-4e74-a96f-592f7cb7ce5c_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41Pk_7LAmhL_dd8def26-225f-4fd8-88b7-c8db860f32ad_1800x1800.jpg ! alt :  ! title : 41Pk_7LAmhL_dd8def26-225f-4fd8-88b7-c8db860f32ad_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31S9NHXpmrL_1800x1800.jpg ! alt :  ! title : 31S9NHXpmrL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/71y2k-lEPJL._AC_SL1500_1800x1800.jpg ! alt :  ! title : 71y2k-lEPJL._AC_SL1500_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-tahoe-3-seat-sleeper-sofa-bed,0,simple,,"SLEEPER SOFA",,
"Istikbal Multifunctional Furniture Living Room Set Tahoe Collection (Melson Dark Grey, Sofa)",istikbal-multifunctional-furniture-living-room-set-tahoe-collection-melson-dark-grey-sofa,,82,"<h2><b>Istikbal Multifunctional Furniture Living Room Set Tahoe Collection (Melson Dark Grey, Sofa)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Melson Dark Grey

<b>Features:</b>
<ul>
 	<li>SLEEPER: When it comes time to host an unexpected overnight guest, simply pull your bedding out from the storage space and fold this sofa down to reveal an instant innerspring bed for a cozy place to spend the night.</li>
 	<li>BUILT-IN STORAGE: Underneath Tahoe’s roomy seats lies hidden storage space for you to store all your blankets, pillows, and any other living room essentials.</li>
 	<li>GEOMETRIC PATTERN: Sit in style on a modern design that drips with mid-century influence, boasting a trendy geometric pattern covering pillows that creates a stylish contrast to the muted charcoal hue of the collection’s soft to the touch fabric.</li>
 	<li>PERFORMANCE FABRIC: Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.</li>
</ul>",,publish,,0,"2022-09-12 20:57:33",1,open,,,,no,no,,900,799,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/51iL_EU5moL._AC_SL1000_360x.jpg ! alt :  ! title : 51iL_EU5moL._AC_SL1000_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/310I5eO5hLL_1800x1800.jpg ! alt :  ! title : 310I5eO5hLL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31S8uq_or1L_1800x1800.jpg ! alt :  ! title : 31S8uq_or1L_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41U6TNVSBFL_1800x1800.jpg ! alt :  ! title : 41U6TNVSBFL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41Pk_7LAmhL_1800x1800.jpg ! alt :  ! title : 41Pk_7LAmhL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/317rq9daR9L_1800x1800.jpg ! alt :  ! title : 317rq9daR9L_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/51iL_EU5moL._AC_SL1000_1800x1800.jpg ! alt :  ! title : 51iL_EU5moL._AC_SL1000_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-set-tahoe-collection-melson-dark-grey-sofa,0,simple,,"SLEEPER SOFA",,
"ISTIKBAL Multifunctional Furniture Living Room Sofa Bed Fantasy Collection (Light Brown)",istikbal-multifunctional-furniture-living-room-sofa-bed-fantasy-collection-light-brown,,91,"<h2><b>ISTIKBAL Multifunctional Furniture Living Room Sofa Bed Fantasy Collection (Light Brown)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Light Brown

<b>Features:</b>
<ul>
 	<li>SOFA: With bold trend setting details, the Fantasy Sleeper Sofa is simply iconic. Uniquely pleated seating, sleek chrome detailing, and removable armrest and back cushions create a modern look that’s sure to get everyone talking.</li>
 	<li>SLEEPER: Offer guests a satisfyingly comfortable place to stay the night by simply folding this sofa down and transitioning it into a queen-sized sleeper.</li>
 	<li>STORAGE: Pull the seat out to reveal cleverly concealed storage space, perfect for tucking away bedding, electronics, toys and more.</li>
 	<li>SUPERIOR COMFORT Fantasy’s superior comfort and chic style create the perfect setting for making memories with friends and family.</li>
</ul>",,publish,,0,"2022-09-12 21:00:16",1,open,,,,no,no,,1299,1199,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_360x.jpg ! alt :  ! title : ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41s2n1FhjZL_1800x1800.jpg ! alt :  ! title : 41s2n1FhjZL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31Xh9_gAXEL_cc717302-ae66-4515-884d-e239e332eb20_1800x1800.jpg ! alt :  ! title : 31Xh9_gAXEL_cc717302-ae66-4515-884d-e239e332eb20_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41-9CUMpd8L_d31574b7-c492-4547-929f-e4d7809fc62d_1800x1800.jpg ! alt :  ! title : 41-9CUMpd8L_d31574b7-c492-4547-929f-e4d7809fc62d_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/417QbJ_3UlL_1800x1800.jpg ! alt :  ! title : 417QbJ_3UlL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41qQDC1Jm8L_1800x1800.jpg ! alt :  ! title : 41qQDC1Jm8L_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_1800x1800.jpg ! alt :  ! title : ISTIKBALMultifunctionalFurnitureLivingRoomSofaBedFantasyCollection_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-sofa-bed-fantasy-collection-light-brown,0,simple,,"SLEEPER SOFA",,
"Istikbal Multifunctional Furniture Living Room Set Natural Collection (Prestige Brown, Sofa)",istikbal-multifunctional-furniture-living-room-set-natural-collection-prestige-brown-sofa,,99,"<h2><b>Istikbal Multifunctional Furniture Living Room Set Natural Collection (Prestige Brown, Sofa)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Prestige Brown

<b>Features:</b>
<ul>
 	<li>SLEEPER: When it comes time to host an unexpected overnight guest, simply pull your bedding out from the storage space and fold this sofa down to reveal an instant innerspring bed for a cozy place to spend the night.</li>
 	<li>BUILT-IN STORAGE: This collection knows that life can get messy and makes room for storage underneath its seats so you can stash away all the daily clutter and guest bedding you want.</li>
 	<li>RICH MINIMALISTIC: A rich minimalistic design showcases mixed leatherette and upholstered fabric with pleasant pops of chrome and solid wood details throughout.</li>
 	<li>PERFORMANCE FABRIC: Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.</li>
</ul>",,publish,,0,"2022-09-12 21:03:20",1,open,,,,no,no,,1399,1199,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/61lIGSBoGTL._AC_SL1436_360x.jpg ! alt :  ! title : 61lIGSBoGTL._AC_SL1436_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/61lIGSBoGTL._AC_SL1436_1800x1800-1.jpg ! alt :  ! title : 61lIGSBoGTL._AC_SL1436_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/416dgwFZqjL_f596edfb-86f6-4251-b933-319bbf29cb6e_1800x1800.jpg ! alt :  ! title : 416dgwFZqjL_f596edfb-86f6-4251-b933-319bbf29cb6e_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31-gt29qWRL_1800x1800.jpg ! alt :  ! title : 31-gt29qWRL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41KlO0R3hiL_0ecc9b38-531b-4a00-b465-8845176d0469_1800x1800.jpg ! alt :  ! title : 41KlO0R3hiL_0ecc9b38-531b-4a00-b465-8845176d0469_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/31lsTFrXOlL_1800x1800.jpg ! alt :  ! title : 31lsTFrXOlL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41zng6oWqNL_1800x1800.jpg ! alt :  ! title : 41zng6oWqNL_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-set-natural-collection-prestige-brown-sofa,0,simple,,"SLEEPER SOFA",,
"Istikbal Multifunctional Furniture Living Room Set Natural Collection (Naomi Brown, Sofa)",istikbal-multifunctional-furniture-living-room-set-natural-collection-naomi-brown-sofa,,262,"<h2><b>Istikbal Multifunctional Furniture Living Room Set Natural Collection (Naomi Brown, Sofa)</b></h2>
<b>Brand:</b> Istikbal

<b>Color:</b> Naomi Brown

<b>Features:</b>
<ul>
 	<li>SLEEPER: When it comes time to host an unexpected overnight guest, simply pull your bedding out from the storage space and fold this sofa down to reveal an instant innerspring bed for a cozy place to spend the night.</li>
 	<li>BUILT-IN STORAGE: This collection knows that life can get messy and makes room for storage underneath its seats so you can stash away all the daily clutter and guest bedding you want.</li>
 	<li>RICH MINIMALISTIC: A rich minimalistic design showcases mixed leatherette and upholstered fabric with pleasant pops of chrome and solid wood details throughout.</li>
 	<li>PERFORMANCE FABRIC: Long lasting performance fabric that stands up to extra wear and tear without sacrificing style. It is manufactured to meet the demands of commercial use in addition to residential.</li>
</ul>",,publish,,0,"2022-09-13 06:14:35",1,open,,,,no,no,,1399,999,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://sofafreedom.furniture/wp-content/uploads/2022/09/51zqN_g1rL._AC_SL1048_360x.jpg ! alt :  ! title : 51zqN_g1rL._AC_SL1048_360x ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/3194WjgONFL_1800x1800.jpg ! alt :  ! title : 3194WjgONFL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/416dgwFZqjL_72fd689f-17b5-40a2-86a8-d25236e20da8_1800x1800.jpg ! alt :  ! title : 416dgwFZqjL_72fd689f-17b5-40a2-86a8-d25236e20da8_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41KlO0R3hiL_f386889e-8f71-44dd-86c5-7742c2134000_1800x1800.jpg ! alt :  ! title : 41KlO0R3hiL_f386889e-8f71-44dd-86c5-7742c2134000_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/315qUlORlVL_1800x1800.jpg ! alt :  ! title : 315qUlORlVL_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/41OE4GDupML_1800x1800.jpg ! alt :  ! title : 41OE4GDupML_1800x1800 ! desc :  ! caption :  | https://sofafreedom.furniture/wp-content/uploads/2022/09/51zqN_g1rL._AC_SL1048_1800x1800.jpg ! alt :  ! title : 51zqN_g1rL._AC_SL1048_1800x1800 ! desc :  ! caption : ",,https://sofafreedom.furniture/?product=istikbal-multifunctional-furniture-living-room-set-natural-collection-naomi-brown-sofa,0,simple,,"SLEEPER SOFA",,
